day_idx,date,quarter,rev_single_rt,rev_single_da,rev_shandong_twosettle,oracle_rt,capture_single_rt,rt_mean,da_mean,da_rt_spread_mean
1684,2025-06-12,2,102190.34061756404,87717.82823516497,87717.82823516497,134744.25786977372,75.84021926658124,223.7229166666667,234.76249999999996,11.039583333333333
1685,2025-06-13,2,104862.35696287973,81272.34768312532,81272.34768312532,130299.125298,80.4781741420403,285.13124999999997,316.37916666666666,31.24791666666667
1686,2025-06-14,2,95794.59799529778,113976.60951282598,113976.60951282598,108021.72548010961,88.68086264085528,323.64374999999995,296.06979166666673,-27.573958333333326
1687,2025-06-15,2,125687.97814191524,122294.43734880046,122294.43734880046,137585.36156109723,91.3527258392974,270.76354166666664,249.725,-21.038541666666664
1688,2025-06-16,2,79530.4989671835,79175.82806249605,79175.82806249605,151552.1420818922,52.47731762458935,218.2052083333333,206.59062499999996,-11.614583333333337
1689,2025-06-17,2,119245.03095839673,97621.80716562875,97621.80716562875,150521.51878641662,79.22125149932891,250.57291666666666,265.77187499999997,15.198958333333335
1690,2025-06-18,2,52178.95061472436,41569.28714258775,41569.28714258775,122386.3964416574,42.63460003056671,228.3479166666667,276.28749999999997,47.93958333333334
1691,2025-06-19,2,72302.336270585,19124.596841783492,19124.596841783492,169350.69159452658,42.693853559037855,409.4135416666666,346.3927083333333,-63.02083333333332
1692,2025-06-20,2,109128.78957513017,35280.613966919984,35280.613966919984,141721.951414325,77.0020370775812,231.91979166666667,310.7666666666667,78.846875
1693,2025-06-21,2,126376.12817787501,118442.16048698008,118442.16048698008,138192.15166406808,91.44956978822017,257.92604166666666,250.40520833333332,-7.520833333333331
1694,2025-06-22,2,106005.20274459786,97290.89748460313,97290.89748460313,136105.50904835216,77.88457901945687,227.49270833333333,230.80833333333337,3.3156250000000056
1695,2025-06-23,2,84844.39202502159,77001.7744242595,77001.7744242595,105860.85782539748,80.14708530414558,297.3072916666667,253.790625,-43.51666666666667
1696,2025-06-24,2,108188.78862375462,98461.95212421313,98461.95212421313,122999.83833379361,87.95848034381544,298.34583333333336,303.4583333333333,5.112499999999997
1697,2025-06-25,2,54766.856654009694,97595.99640370929,97595.99640370929,67240.76445800568,81.44889055836599,351.64166666666665,279.25104166666665,-72.390625
1698,2025-06-26,2,3098.1674835279764,1311.9697028702449,1311.9697028702449,49118.78628262886,6.30750007889275,305.41875,305.9802083333333,0.5614583333333218
1699,2025-06-27,2,43411.35676003057,36771.2411805671,36771.2411805671,61931.06184979127,70.0962577798541,308.43854166666665,308.1458333333333,-0.29270833333332824
1700,2025-06-28,2,11427.737080157052,14170.661947097075,14170.661947097075,47321.654736286335,24.149064828441517,276.70625,314.090625,37.384375
1701,2025-06-29,2,27058.605068293455,18694.69997215769,18694.69997215769,46999.01668209127,57.57270466172113,307.1958333333333,314.71250000000003,7.516666666666665
1702,2025-06-30,2,77427.47319566249,40456.64634743966,40456.64634743966,111779.50349122434,69.2680417942107,224.5541666666667,256.4135416666667,31.859375
1703,2025-07-01,3,50894.89787161379,44846.30839408242,44846.30839408242,122189.75941706875,41.65234313777056,443.7427083333334,295.29583333333335,-148.44687499999998
1704,2025-07-02,3,62843.75444477073,33976.97480975862,33976.97480975862,82892.27297031369,75.81376670329337,332.66770833333334,339.04687499999994,6.379166666666673
1705,2025-07-03,3,130815.31673026878,106289.29051475912,106289.29051475912,155471.01013510677,84.14129207534458,308.63958333333335,267.65729166666665,-40.98229166666667
1706,2025-07-04,3,116903.7576035522,89281.64251726045,89281.64251726045,169888.33040360492,68.81211753969394,378.30312499999997,361.3875,-16.91562500000001
1707,2025-07-05,3,118041.24349724149,116226.43850930218,116226.43850930218,163419.42967589333,72.23207407549424,348.6510416666667,414.640625,65.98958333333333
1708,2025-07-06,3,97648.2314939338,98533.51209688626,98533.51209688626,119696.92192421481,81.57956773170744,357.8572916666667,365.80104166666666,7.943749999999995
1709,2025-07-07,3,-2792.4736340476547,27293.299275348363,27293.299275348363,75185.72586466743,-3.7141007843351046,355.2437500000001,389.39375,34.15
1710,2025-07-08,3,69848.4710949415,56307.612510482766,56307.612510482766,92017.9273694,75.90745965678987,298.91562500000003,354.9791666666667,56.06354166666668
1711,2025-07-09,3,93971.03640406029,83690.98669334351,83690.98669334351,117102.35747660341,80.24692109450942,379.96875000000006,337.625,-42.34375
1712,2025-07-10,3,81753.63672072098,72906.65115180035,72906.65115180035,101353.60721477812,80.66179287282503,364.5635416666667,365.89895833333327,1.3354166666666731
