checkpoint,day,date,naive_rev,daily_rev,naive_da,naive_rt,daily_da,daily_rt,daily_segments,compliant,da_mean,rt_mean,forecast_total_mwh,actual_total_mwh
240,248,2023-01-04,177020.73776932483,177020.73776932483,189090.84258028428,-12070.104810959447,189090.84258028428,-12070.104810959447,3,True,509.8775,574.5463020833333,408.6112061811537,387.8982164263675
240,249,2023-01-05,209737.24758086813,237073.28739368025,58747.28237730336,150989.9652035648,39100.68251417547,197972.60487950477,3,True,204.76479166666664,266.6674479166667,414.30016903465724,1033.887550104189
240,250,2023-01-06,244400.5630178082,244400.5630178082,188133.88408490916,56266.67893289901,188133.88408490916,56266.67893289901,3,True,430.6791666666666,443.75526041666666,469.20814479348957,619.6882423167528
240,251,2023-01-07,168891.5514578387,164701.72975116083,181203.76224243178,-12312.21078459307,171189.96416554082,-6488.23441437998,3,True,438.67864583333335,432.98109374999996,513.7319654059661,529.4527591025102
240,252,2023-01-08,161717.3058755076,161717.3058755076,250216.98800685524,-88499.68213134765,250216.98800685524,-88499.68213134765,3,True,519.7553645833333,503.2518229166667,522.7620585768184,348.47700857489883
240,253,2023-01-09,180784.09743807412,194929.68005441077,110377.96040906275,70406.13702901136,96280.93915057395,98648.74090383684,3,True,316.07020833333337,295.0916145833333,519.0648393369377,870.7264657050924
240,254,2023-01-10,190483.58105809405,196404.37700391273,152373.40688287976,38110.17417521429,140162.1810881767,56242.195915736025,3,True,355.8008854166667,326.1610416666667,589.6852218194891,766.1097246238733
240,255,2023-01-11,173503.7601445181,172754.827750617,261538.82725575354,-88035.06711123545,258562.22775913888,-85807.4000085219,3,True,412.7867187499999,437.6113541666667,639.5105751367981,527.8152992651974
240,256,2023-01-12,164816.03045023838,184828.28440924583,112413.24050078799,52402.7899494504,81696.40073809092,103131.88367115491,3,True,198.60369791666668,149.8415625,667.9226134808894,1052.8063674337945
240,257,2023-01-13,178166.20494579457,217112.11061090685,179636.39424028332,-1470.189294488739,152930.8337901904,64181.27682071644,3,True,264.34411458333335,338.3791145833333,681.2104035355876,796.7183486831132
240,258,2023-01-14,160788.2633899009,185273.41630787,243750.26939126785,-82962.00600136694,213319.6874284978,-28046.27112062779,3,True,375.42588541666663,517.03703125,677.9603293872603,549.6718547675825
240,259,2023-01-15,300411.8562627378,303333.65085846966,236197.36345650966,64214.49280622817,191695.73451239621,111637.91634607347,3,True,361.5996354166667,368.7828645833333,685.9019334102654,919.0501278043001
240,260,2023-01-16,268779.7261481385,293386.53367642476,151262.37037205405,117517.35577608444,106395.01506984791,186991.51860657684,3,True,222.77572916666668,233.09229166666668,757.8510577751704,1261.2536953613649
240,261,2023-01-17,219975.36070512747,231381.52920476787,186315.09546734585,33660.26523778163,169608.98911020707,61772.5400945608,3,True,263.07609375,225.10901041666668,817.4357189657575,1028.4096596095474
240,262,2023-01-18,156119.71418401378,155531.31259485264,114713.93243607708,41405.78174793671,42287.587799393645,113243.72479545901,3,True,150.98192708333332,127.01406249999998,871.0001670200373,1215.6399265995378
240,263,2023-01-19,198416.11968375475,150908.54092901893,305749.0934932165,-107332.97380946175,81575.89758119748,69332.64334782145,3,True,332.15276041666664,277.9138541666667,992.1934341094046,740.9818383061497
240,264,2023-01-20,198255.24396808996,213642.59165121173,239792.31712565338,-41537.073157563435,29363.259189703975,184279.33246150776,3,True,301.98994791666667,314.6209375,918.9439465219652,855.7093099669557
240,265,2023-01-21,243390.7277816057,302563.32729386777,270858.66670429567,-27467.938922689973,34849.175,267714.1522938678,3,True,321.48890624999996,387.1580729166667,950.8664945685889,883.2983940638148
240,266,2023-01-22,172122.37248652332,188397.3219370672,257441.25595371597,-85318.88346719265,94886.925,93510.3969370672,3,True,307.88036458333335,321.1971875,959.4105331794585,796.9468531714833
240,267,2023-01-23,267571.1200428911,255529.42798680667,340976.4794325422,-73405.35938965109,313033.8316630261,-57504.40367621946,3,True,380.0894270833333,314.69234375,966.5239472838966,787.7789883401504
240,268,2023-01-24,188061.89526712758,149717.46023001138,188626.04243972414,-564.1471725965637,47941.05486100776,101776.40536900362,3,True,245.90395833333332,196.14848958333332,923.1691011081634,969.5940313856711
240,269,2023-01-25,226919.84629354614,165622.20495862127,214747.4885050387,12172.357788507463,0.0,165622.20495862127,3,True,283.2459895833333,198.43708333333333,897.5512999998473,960.1187245177725
270,270,2023-01-26,209449.0858612556,206434.245588495,212186.1523913307,-2737.0665300751107,160254.9076688055,46179.3379196895,3,True,292.9336458333333,255.29651041666662,850.6726046518081,1018.8256962180333
270,271,2023-01-27,256279.59429136862,256279.59429136862,387413.10828895343,-131133.5139975848,387413.10828895343,-131133.5139975848,3,True,459.5565625,475.53578124999996,881.9021767739655,622.0969300078563
270,272,2023-01-28,211189.44975778233,227643.84014391768,262267.7213865429,-51078.27162876056,221234.10826253606,6409.731881381619,3,True,346.07708333333335,358.56916666666666,859.3526042910163,780.3734246898277
