day,quarter,actual_regime,pred_regime,correct,rev_hard,rev_soft,rev_stoch,rev_perfect,rev_oracle
1786,Q2,1,9,False,35903.22180336999,37467.42180336999,42185.268538270015,55449.00000000002,81985.52421494677
1787,Q2,7,1,False,40511.2,37544.8,49806.400000000016,44441.00000000002,78291.1258908401
1788,Q2,5,5,True,182861.39999999994,165218.19999999995,137752.99999999994,182861.39999999994,236349.53377974068
1789,Q2,11,9,False,218048.82992532998,247024.81842878,225316.82992533,260325.78065962996,294875.5143614
1790,Q2,11,9,False,66925.92058316006,80852.47897860002,68721.20000000004,82307.13157761992,114402.25020356275
1791,Q2,3,9,False,28037.776381259977,32331.199999999993,34918.20898186995,41848.20000000001,80292.89072721428
1792,Q2,5,5,True,59940.999999999985,64251.999999999985,67875.11305463978,59940.999999999985,90743.33898431536
1793,Q2,5,9,False,101120.34071447,124212.49614476999,124110.28222477993,205820.0000000001,246821.4115018
1794,Q2,5,9,False,138686.98061051994,190990.0577089999,191873.98061051997,192466.79999999996,239094.0324996
1795,Q2,8,9,False,147916.09729185005,94037.52836931986,120112.67439273998,274603.39086607995,350359.38652971433
1796,Q2,6,7,False,47233.79999999997,34961.3294897198,42615.19999999998,23346.999999999993,70271.8834892
1797,Q2,0,0,True,31233.431935839755,33360.399999999994,36481.19999999998,31233.431935839755,65352.995
1798,Q2,1,9,False,63822.699517299974,64322.347179699995,68483.58581439994,127586.39999999998,176372.92687403815
1799,Q2,1,7,False,31197.999999999985,30858.79999999999,29545.79999999999,75328.59999999999,128582.23624446084
1800,Q2,11,7,False,11562.599999999988,11484.199999999997,12306.8,37582.16728583995,83143.80858782126
1801,Q2,10,9,False,71246.01068880997,86036.80177119996,65046.79743408003,110948.60177369982,133124.76695638243
1802,Q2,7,1,False,25828.799999999992,51460.60000000002,54397.40000000005,124840.6,275632.6058922969
1803,Q3,7,10,False,32336.399999999965,32923.999999999956,32650.69303465987,29617.599999999988,60417.010800000004
1804,Q3,6,6,True,52598.39999999999,42749.40000000001,40560.60000000001,52598.39999999999,87951.53084874038
1805,Q3,11,3,False,27350.060063179793,38432.06499717984,34150.39999999997,52229.39999999997,96619.95324889342
1806,Q3,10,10,True,80481.40000000004,26606.199999999993,57015.79999999998,80481.40000000004,154576.98726016656
1807,Q3,4,3,False,45085.71064043982,46922.42724589997,49303.80000000001,61818.504911499884,90572.75798893148
1808,Q3,5,3,False,207103.13603638986,215867.80002722002,214018.18644994983,219254.8,256975.7951597196
1809,Q3,10,3,False,-482.05106930024886,-2496.6114168000367,-51076.36325354001,159383.19999999995,222001.4118678613
1810,Q3,3,11,False,83868.60000000002,109998.00000000004,101596.60000000005,119501.61378729987,178147.25943451037
1811,Q3,11,10,False,34170.99999999998,33124.999999999985,33472.99999999998,14776.999999999985,76684.86045285805
1812,Q3,1,3,False,235988.47887927978,245379.32473747982,244758.58836444,221208.19775311957,327503.225844963
1813,Q3,0,3,False,100560.61500096988,105986.07364060004,103699.26524243994,119493.14663439986,151817.23487635714
1814,Q3,1,3,False,89953.83148924985,95418.1065082,96847.75512948,88291.70310419978,125817.1937216823
1815,Q3,3,3,True,242843.67373232977,250707.66833969989,234764.61887036992,242843.67373232977,284261.073905879
1816,Q3,3,3,True,226961.76675066972,228980.54094967985,230017.69330596982,226961.76675066972,259965.712336
1817,Q3,3,3,True,66533.86669916983,68895.57999,65280.52998399998,66533.86669916983,102989.49987604088
1818,Q3,5,5,True,174415.5999999999,161305.39999999988,142334.16107849986,174415.5999999999,214526.28945535998
1819,Q3,8,6,False,30692.200000000023,34567.80000000002,24910.835991119784,18049.717829629895,67896.56159999999
1820,Q3,5,3,False,34828.229551379816,40026.29097500986,41330.2,39232.59999999999,64243.62085983883
1821,Q3,3,3,True,197830.78513408982,206639.02398110996,203954.55832311983,197830.78513408982,233698.24348580002
1822,Q3,3,3,True,78537.36383667984,77895.03716242002,80809.43716242004,78537.36383667984,129749.94792180878
1823,Q3,3,0,False,250500.2359879998,253548.35201240002,260420.53927302,254754.54232140986,302224.7793874535
1824,Q3,6,3,False,22388.97656689977,18051.01059703996,35176.34818958439,105753.20000000003,161975.44249729792
1825,Q3,5,6,False,35283.600000000035,40486.400000000016,32698.20575889972,42260.60000000001,68750.3916
1826,Q3,5,3,False,186122.19216023985,228073.10007300004,233887.04116569998,239746.20000000004,269445.11787136155
1827,Q3,1,3,False,283164.4722301699,302258.9643408,263608.6942698001,301965.6834047596,367637.7798548145
1828,Q3,3,3,True,232926.59217531988,234435.85775023996,230957.16996893997,232926.59217531988,268630.8786456
1829,Q3,3,3,True,233189.1176545397,231971.77063447988,242836.63588387967,233189.1176545397,285804.83205127023
